Model,Length_bytes,Mean_Acc_3seed,Std_3seed,Collapse_Frac_Dominant_Class,n_test,p_value_vs_1_3_chance,CI95_low,CI95_high,n_samples_per_cipher
ANN,8,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
DNN,8,0.3336,0.0003,0.968,78644,0.7565,0.3306,0.3372,131072
1D-CNN,8,0.3353,0.0026,0.916,78644,0.2065,0.3322,0.3388,131072
FFNN,8,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
ANN,24,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
DNN,24,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
1D-CNN,24,0.3331,0.0003,1.0,78644,1.0,0.33,0.3366,131072
FFNN,24,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
ANN,32,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
DNN,32,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
1D-CNN,32,0.3334,0.0,1.0,78644,1.0,0.33,0.3366,131072
FFNN,32,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
ANN,64,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
DNN,64,0.3333,0.0001,1.0,78644,1.0,0.33,0.3366,131072
1D-CNN,64,0.334,0.0012,1.0,78644,1.0,0.33,0.3366,131072
FFNN,64,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
ANN,1024,0.3333,0.0,1.0,7200,1.0,0.3224,0.3444,12000
DNN,1024,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
1D-CNN,1024,0.335,0.0035,0.8,7200,0.3054,0.3281,0.3501,12000
FFNN,1024,0.3333,0.0,1.0,78644,1.0,0.33,0.3366,131072
